Frequency (Hz) - Plot 0	Fase (Deg) - Plot 0	
19299.8	-37.9002	
19299.8	-37.8973	
19399.8	-38.1193	
19499.8	-38.3323	
19499.8	-38.3349	
19599.8	-38.5512	
19699.9	-38.7617	
19799.7	-38.9691	
19799.7	-38.9686	
19899.7	-39.1701	
19999.7	-39.3559	
19999.8	-39.3683	
20099.8	-39.5678	
20199.8	-39.7624	
20199.8	-39.7624	
20299.8	-39.9528	
20399.8	-40.142	
20399.8	-40.1435	
20499.9	-40.3202	
20499.9	-40.3234	
20599.7	-40.5063	
20699.7	-40.6834	
20699.7	-40.6833	
20799.7	-40.8616	
20899.8	-41.0338	
20899.8	-41.0329	
20999.8	-41.2006	
21099.8	-41.3741	
21099.8	-41.3711	
21199.8	-41.5347	
21299.9	-41.7006	
21299.9	-41.6981	
21399.7	-41.8587	
21499.7	-42.0145	
21499.7	-42.011	
21599.7	-42.1717	
21699.8	-42.3205	
21699.8	-42.3238	
21799.8	-42.4737	
21899.8	-42.6198	
21899.8	-42.6164	
21999.8	-42.7607	
22099.7	-42.9081	
22099.7	-42.9058	
22199.7	-43.0464	
22199.7	-43.048	
22299.7	-43.1872	
22399.7	-43.3234	
22399.7	-43.3234	
22499.8	-43.4591	
22599.8	-43.5884	
22599.8	-43.5872	
22699.8	-43.7188	
22799.8	-43.8497	
22799.8	-43.8463	
22899.7	-43.9708	
22999.7	-44.0968	
22999.7	-44.093	
23099.7	-44.2187	
23199.7	-44.337	
23199.7	-44.3363	
23299.8	-44.4572	
23399.8	-44.5711	
23399.8	-44.5739	
23499.8	-44.6882	
23599.8	-44.8015	
23599.8	-44.8016	
23699.7	-44.9131	
23799.7	-45.0173	
23799.7	-45.0154	
23899.7	-45.1291	
23999.7	-45.2337	
23999.7	-45.2333	
24099.8	-45.3393	
24099.8	-45.3402	
24199.8	-45.4404	
24299.8	-45.5416	
24299.8	-45.5422	
24399.8	-45.6393	
24499.7	-45.7361	
24499.7	-45.7399	
24599.7	-45.8361	
24699.7	-45.9298	
24699.7	-45.9293	
24799.7	-46.0242	
24899.8	-46.1155	
24899.8	-46.1161	
24999.8	-46.2136	
25099.8	-46.2938	
25099.8	-46.2943	
25199.6	-46.3834	
25299.7	-46.4695	
25299.7	-46.4695	
25399.7	-46.553	
25399.7	-46.5533	
25499.7	-46.637	
25599.7	-46.7178	
25599.7	-46.7186	
25699.8	-46.8002	
25799.8	-46.8813	
25799.8	-46.8799	
25899.8	-46.9578	
25899.8	-46.9586	
25999.6	-47.0304	
26099.7	-47.1093	
26099.7	-47.1109	
26199.7	-47.1838	
26299.7	-47.259	
26299.7	-47.2572	
26399.7	-47.3312	
26499.8	-47.4013	
26499.8	-47.4026	
26599.8	-47.4703	
26699.8	-47.54	
26699.8	-47.5431	
26799.6	-47.61	
26899.7	-47.6736	
26899.7	-47.673	
26999.7	-47.7419	
27099.7	-47.8051	
27099.7	-47.8054	
27199.7	-47.8639	
27199.7	-47.868	
27299.7	-47.9331	
27399.8	-47.9956	
27399.8	-47.9934	
27499.8	-48.0531	
27599.6	-48.1115	
27599.6	-48.1133	
27699.6	-48.1679	
27799.7	-48.2239	
27799.7	-48.223	
27899.7	-48.284	
27999.7	-48.3354	
27999.7	-48.3374	
28099.7	-48.3962	
28199.8	-48.4475	
28199.8	-48.4496	
28299.6	-48.4941	
28299.6	-48.4997	
28399.6	-48.5538	
28499.6	-48.6032	
28499.6	-48.5994	
28502.9	-48.6495	
28699.7	-48.7005	
28699.7	-48.702	
28799.7	-48.7487	
28899.7	-48.7987	
28899.7	-48.7999	
28999.8	-48.8449	
29099.6	-48.8925	
29099.6	-48.8916	
29199.6	-48.9374	
29299.6	-48.9807	
29299.6	-48.9818	
29399.7	-49.0198	
29499.7	-49.0668	
29499.7	-49.0643	
29599.7	-49.1091	
29699.7	-49.1492	
29699.7	-49.1488	
29799.8	-49.1886	
29799.8	-49.1898	
29899.6	-49.2274	
29999.6	-49.2717	
29999.6	-49.2679	
30099.6	-49.3056	
30199.7	-49.3433	
30199.7	-49.3431	
30299.7	-49.3849	
30399.7	-49.4166	
30399.7	-49.4155	
30499.7	-49.4488	
30599.6	-49.4878	
30599.6	-49.488	
30699.6	-49.5201	
30799.6	-49.5529	
30799.6	-49.5545	
30899.6	-49.5854	
30899.6	-49.5852	
30999.7	-49.615	
31099.7	-49.6504	
31099.7	-49.6514	
31199.7	-49.6824	
31299.7	-49.7105	
31299.7	-49.7149	
31399.6	-49.742	
31431	-49.7386	
31499.6	-49.768	
31599.6	-49.7968	
31699.6	-49.8289	
31699.6	-49.8249	
31799.7	-49.8537	
31899.7	-49.8804	
31899.7	-49.8824	
31999.7	-49.9071	
32099.7	-49.9321	
32099.7	-49.9304	
32199.6	-49.954	
32299.6	-49.9821	
32299.6	-49.9825	
32399.6	-50.0052	
32399.6	-50.0067	
32499.6	-50.0296	
32599.7	-50.052	
32599.7	-50.0556	
32699.7	-50.0718	
32799.7	-50.093	
32799.7	-50.0933	
32899.7	-50.1157	
32999.6	-50.1356	
33099.6	-50.1542	
33099.6	-50.1534	
33199.6	-50.1733	
33299.6	-50.1954	
33299.6	-50.1935	
33399.7	-50.212	
