Frequency (Hz) - Plot 0	Amplitude (V) - Plot 0	
23500	4.3758	
23600	4.37906	
23600	4.37912	
23700	4.38247	
23800	4.38571	
23800	4.38589	
23900	4.38895	
24000	4.39245	
24100	4.39563	
24100	4.39588	
24200	4.39894	
24300	4.40227	
24300	4.40212	
24400	4.40519	
24500	4.4083	
24500	4.40837	
24600	4.41139	
24700	4.41451	
24700	4.41462	
24800	4.41755	
24900	4.42058	
24900	4.42071	
25000	4.42345	
25100	4.42667	
25100	4.4264	
25200	4.42942	
25300	4.43208	
25300	4.43236	
25400	4.43509	
25500	4.43787	
25500	4.43801	
25600	4.44065	
25700	4.44353	
25700	4.4435	
25800	4.44628	
25900	4.44868	
25900	4.44875	
26000	4.45147	
26100	4.45416	
26100	4.45413	
26200	4.45673	
26200	4.4568	
26300	4.45975	
26400	4.46201	
26500	4.46475	
26500	4.4646	
26500	4.46467	
26700	4.46963	
26700	4.46971	
26800	4.4723	
26900	4.47479	
26900	4.47462	
27000	4.47712	
27100	4.47954	
27100	4.47959	
27200	4.48191	
27300	4.48431	
27300	4.48431	
27400	4.48676	
27500	4.4891	
27500	4.48893	
27600	4.49166	
27700	4.49382	
27700	4.49377	
27800	4.49596	
27900	4.49835	
27900	4.49813	
28000	4.50057	
28000	4.50056	
28100	4.50267	
28200	4.50503	
28200	4.50491	
28300	4.50709	
28400	4.50933	
28500	4.51136	
28500	4.51141	
28600	4.51366	
28700	4.51554	
28700	4.51568	
28800	4.51783	
28800	4.51772	
28900	4.51961	
29000	4.52203	
29000	4.52174	
29100	4.52394	
29200	4.5259	
29200	4.52584	
29300	4.52787	
29400	4.52986	
29400	4.52986	
29500	4.53192	
29600	4.53368	
29600	4.53357	
29700	4.5357	
29800	4.53767	
29800	4.53737	
29900	4.53939	
30000	4.54138	
30000	4.54137	
30100	4.54317	
30200	4.54519	
30200	4.54499	
30300	4.54685	
30300	4.54693	
30400	4.54881	
30500	4.55047	
30500	4.55048	
30600	4.55209	
30700	4.55389	
30700	4.55387	
30800	4.55566	
30900	4.55759	
30900	4.55762	
31000	4.55923	
31100	4.56096	
31100	4.56104	
31200	4.56272	
31300	4.56416	
31300	4.56424	
31400	4.56596	
31500	4.56774	
31500	4.56766	
31600	4.56925	
31700	4.57095	
31700	4.57101	
31800	4.57273	
31800	4.57233	
31900	4.5741	
32000	4.57549	
32100	4.57716	
32100	4.57724	
32200	4.57874	
32300	4.58025	
32300	4.5802	
32400	4.58176	
32500	4.58326	
32500	4.5833	
32600	4.58489	
32700	4.58649	
32700	4.58653	
32800	4.58791	
32900	4.58949	
32900	4.5893	
33000	4.59079	
33100	4.59217	
33100	4.59235	
33200	4.59365	
33300	4.59522	
33300	4.59498	
33400	4.59687	
33500	4.59807	
33500	4.59781	
