Frequency (Hz) - Plot 0	Amplitude (V) - Plot 0	
23800	2.05125	
23900	2.04477	
24000	2.03826	
24000	2.03821	
24100	2.03171	
24200	2.02528	
24200	2.02531	
24300	2.0189	
24300	2.01888	
24400	2.01254	
24500	2.00619	
24500	2.00619	
24600	1.99994	
24700	1.99373	
24700	1.99374	
24800	1.98746	
24900	1.98126	
24900	1.9813	
25000	1.97527	
25100	1.9691	
25100	1.96907	
25200	1.96301	
25200	1.96293	
25300	1.95693	
25400	1.95093	
25400	1.95094	
25500	1.94494	
25600	1.939	
25600	1.93901	
25700	1.93313	
25800	1.9272	
25800	1.92727	
25900	1.9213	
26000	1.91556	
26099	1.91015	
26100	1.90987	
26200	1.90409	
26300	1.89848	
26300	1.89842	
26400	1.89268	
26500	1.88699	
26500	1.88701	
26600	1.88142	
26600	1.88143	
26600	1.88139	
26800	1.87027	
26800	1.87031	
26900	1.86477	
26951	1.84859	
27000	1.85931	
27100	1.85382	
27100	1.85378	
27200	1.8484	
27300	1.84299	
27300	1.84293	
27400	1.83755	
27500	1.83217	
27500	1.83227	
27600	1.82695	
27700	1.82161	
27700	1.82171	
27800	1.81628	
27800	1.81635	
27900	1.81108	
28000	1.8059	
28000	1.80596	
28100	1.80074	
28200	1.79558	
28300	1.7904	
28300	1.79037	
28400	1.78526	
28500	1.78019	
28500	1.78026	
28600	1.77524	
28700	1.77027	
28700	1.77023	
28800	1.7652	
28800	1.76526	
28900	1.76026	
29000	1.75537	
29000	1.75533	
29100	1.75047	
29200	1.74561	
29200	1.74556	
29300	1.74075	
29400	1.73584	
29400	1.7359	
29500	1.73096	
29600	1.72621	
29600	1.72625	
29700	1.72153	
29700	1.72155	
29800	1.71676	
29900	1.71206	
29900	1.71206	
30000	1.70738	
30100	1.70265	
30200	1.6981	
30200	1.69812	
30300	1.69347	
30400	1.68894	
30400	1.68894	
30500	1.68436	
30600	1.67984	
30600	1.67986	
30700	1.67534	
30700	1.67527	
30800	1.67086	
30900	1.66639	
30900	1.66644	
31000	1.66185	
31100	1.65743	
31100	1.65755	
31200	1.65314	
31300	1.64868	
31300	1.64869	
31400	1.64436	
31500	1.63999	
31500	1.64001	
31600	1.63571	
31700	1.63148	
31700	1.63145	
31800	1.62715	
31800	1.62718	
31900	1.62293	
32000	1.61867	
32100	1.61455	
32100	1.61449	
32200	1.61029	
