Frequency (Hz) - Plot 0	Fase (Deg) - Plot 0	
19599.8	33.405	
19699.9	33.3318	
19699.9	33.3297	
19799.7	33.2642	
19899.7	33.1923	
19899.7	33.1886	
19999.7	33.1296	
20099.8	33.0528	
20099.8	33.0558	
20199.8	32.9879	
20299.8	32.9186	
20299.8	32.9195	
20399.8	32.8546	
20499.9	32.7869	
20499.9	32.7863	
20599.7	32.7244	
20699.7	32.6618	
20699.7	32.6602	
20799.7	32.599	
20899.8	32.5325	
20899.8	32.5363	
20999.8	32.4776	
21099.8	32.4118	
21099.8	32.412	
21199.8	32.3539	
21299.9	32.2883	
21299.9	32.2937	
21399.7	32.2372	
21499.7	32.1774	
21499.7	32.1817	
21599.7	32.1186	
21699.8	32.0568	
21699.8	32.0607	
21799.8	32.0044	
21899.8	31.9509	
21899.8	31.9526	
21999.8	31.8971	
22099.7	31.8424	
22099.7	31.8453	
22199.7	31.7854	
22299.7	31.7337	
22299.7	31.7358	
22399.7	31.6808	
22499.8	31.6303	
22499.8	31.632	
22599.8	31.5758	
22699.8	31.5303	
22699.8	31.5302	
22799.8	31.4778	
22899.7	31.4282	
22899.7	31.4276	
22999.7	31.3789	
23099.7	31.3345	
23099.7	31.3319	
23199.7	31.2867	
23299.8	31.24	
23299.8	31.2332	
23399.8	31.19	
23431.8	31.2359	
23499.8	31.1475	
23599.8	31.0977	
23599.8	31.1012	
23699.7	31.0562	
23799.7	31.0123	
23799.7	31.0087	
23899.7	30.97	
23999.7	30.9254	
24099.8	30.8836	
24099.8	30.8833	
24199.8	30.8371	
24299.8	30.8004	
24299.8	30.7979	
24399.8	30.7608	
24499.7	30.7135	
24499.7	30.7207	
24599.7	30.6736	
24699.7	30.6367	
24699.7	30.6424	
24799.7	30.5957	
24899.8	30.5579	
24899.8	30.5618	
24999.8	30.5238	
25099.8	30.4824	
25099.8	30.4851	
25199.6	30.4457	
25299.7	30.4078	
25299.7	30.406	
25399.7	30.374	
25499.7	30.339	
25499.7	30.3405	
25599.7	30.3027	
25699.7	30.27	
25699.7	30.2681	
25799.8	30.2312	
25899.8	30.2001	
25899.8	30.1994	
25999.6	30.1642	
26099.7	30.1306	
26099.7	30.1362	
26199.7	30.1036	
26199.7	30.0991	
26299.7	30.0728	
26399.7	30.036	
26499.7	30.0077	
26499.7	30.0111	
26499.7	30.0117	
26699.8	29.9433	
26699.8	29.946	
26799.6	29.9164	
26899.7	29.8884	
26899.7	29.8862	
26999.7	29.8588	
27099.7	29.8286	
27099.7	29.8287	
27199.7	29.7998	
27299.7	29.7715	
27299.7	29.7698	
27399.8	29.7429	
27499.8	29.7145	
27499.8	29.7121	
27599.6	29.6909	
27699.6	29.6665	
27699.7	29.6623	
27799.7	29.6399	
27899.7	29.6134	
27899.7	29.6133	
27999.7	29.5891	
27999.7	29.5861	
28099.7	29.5576	
28199.8	29.536	
28199.8	29.5345	
28299.6	29.513	
28399.6	29.4899	
28499.6	29.4621	
28499.6	29.4623	
28599.7	29.4399	
28699.7	29.4202	
28699.7	29.4173	
28799.7	29.3925	
28799.7	29.3961	
28899.7	29.3724	
28999.8	29.3531	
28999.8	29.3463	
29099.6	29.3269	
29199.6	29.3075	
29199.6	29.3066	
29299.6	29.2852	
29399.7	29.2637	
29399.7	29.2659	
29499.7	29.2514	
29599.7	29.2269	
29599.7	29.2239	
29699.7	29.2062	
29799.8	29.1871	
29799.8	29.1929	
29899.6	29.1696	
29999.6	29.1421	
29999.6	29.1532	
30099.6	29.1332	
30199.7	29.1153	
30199.7	29.1142	
30299.7	29.097	
30299.7	29.0965	
30399.7	29.0804	
30499.7	29.0582	
30499.7	29.0663	
30599.6	29.0477	
30699.6	29.0297	
30699.6	29.0286	
30799.6	29.0138	
30899.6	28.997	
30899.6	28.9996	
30999.7	28.9812	
31099.7	28.9684	
31099.7	28.9641	
31199.7	28.95	
